pressure_mb,verticalWind_ms,AmbientTemperature_K
881.85,-2.47,343.60
866.77,-2.57,342.22
847.67,-2.67,340.48
831.43,-3.46,339.02
818.81,-3.61,337.77
804.82,-3.55,336.44
786.29,-3.65,334.52
764.82,-3.28,332.60
743.32,-2.91,330.68
720.70,-2.44,328.42
696.28,-2.53,326.22
672.27,-2.51,323.87
650.68,-1.98,321.72
634.38,-2.76,319.93
622.17,-2.76,318.85
609.98,-2.34,317.44
597.81,-1.93,316.04
584.78,-2.04,314.52
573.12,-1.49,312.92
562.94,-1.06,311.76
552.25,-0.88,310.59
545.07,-0.57,309.94
542.55,0.00,309.94
540.58,0.00,309.94
538.60,0.00,309.94
538.60,0.00,309.50
538.09,0.00,309.50
537.71,0.00,309.72
537.07,0.00,309.06
536.82,0.00,309.06
537.20,0.00,309.01
537.26,-0.20,308.96
537.32,-0.41,308.91
538.45,-0.72,309.86
540.08,0.35,309.06
540.71,0.39,309.06
542.35,0.38,309.43
542.22,-0.34,309.43
539.57,0.32,308.91
537.24,0.32,309.02
534.90,0.33,309.13
533.51,0.00,308.91
536.78,0.00,308.91
538.67,0.61,309.28
537.41,0.35,308.69
537.91,0.65,308.99
538.54,0.35,308.97
538.11,0.33,308.96
537.68,0.32,308.94
537.25,0.30,308.93
536.82,0.29,308.91
536.39,0.27,308.89
535.96,0.26,308.88
535.52,0.24,308.86
535.09,0.23,308.85
534.66,0.21,308.83
534.23,0.20,308.81
533.80,0.18,308.80
533.37,0.17,308.78
532.94,0.15,308.76
532.51,0.14,308.75
532.08,0.12,308.73
531.65,0.11,308.72
531.21,0.09,308.70
530.78,0.08,308.68
530.35,0.06,308.67
529.92,0.05,308.65
529.49,0.03,308.64
529.06,0.02,308.62
530.32,0.00,308.62
533.73,0.00,308.73
534.72,0.05,308.84
535.71,0.10,308.95
536.71,0.15,309.06
537.70,0.21,309.17
538.70,0.26,309.28
539.69,0.31,309.39
540.68,0.36,309.50
545.97,0.38,310.08
552.14,-0.23,310.77
558.31,-0.84,311.47
558.44,-1.12,311.47
560.32,-1.31,311.76
562.21,-1.12,311.98
